,Command Name,Aim,Description,code
0,accept-reserved-instances-exchange-quote,to perform a convertible reserved instance exchange,this example performs an exchange of the specified convertible reserved instances.,aws ec2 accept-reserved-instances-exchange-quote --reserved-instance-ids 7b8750c3-397e-4da4-bbcb-a45ebexample --target-configurations OfferingId=b747b472-423c-48f3-8cee-679bcexample
1,accept-transit-gateway-peering-attachment,to accept a transit gateway peering attachment,the following accept-transit-gateway-peering-attachment example accepts the specified transit gateway peering attachment. the --region parameter specifies the region that the accepter transit gateway is located in.,"aws ec2 accept-transit-gateway-peering-attachment 
    --transit-gateway-attachment-id tgw-attach-4455667788aabbccd 
    --region us-east-2"
2,accept-transit-gateway-vpc-attachment,to accept a request to attach a vpc to a transit gateway.,the following accept-transit-gateway-vpc-attachment example accepts the request forte specified attachment.,"aws ec2 accept-transit-gateway-vpc-attachment 
    --transit-gateway-attachment-id tgw-attach-0a34fe6b4fEXAMPLE"
3,accept-vpc-endpoint-connections,to accept an interface endpoint connection request,this example accepts the specified endpoint connection request for the specified endpoint service.,aws ec2 accept-vpc-endpoint-connections --service-id vpce-svc-03d5ebb7d9579a2b3 --vpc-endpoint-ids vpce-0c1308d7312217abc
4,accept-vpc-peering-connection,to accept a vpc peering connection,this example accepts the specified vpc peering connection request.,aws ec2 accept-vpc-peering-connection --vpc-peering-connection-id pcx-1a2b3c4d
5,advertise-byoip-cidr,to advertise an address range,the following advertise-byoip-cidr example advertises the specified public ipv4 address range.,"aws ec2 advertise-byoip-cidr 
    --cidr 203.0.113.25/24"
6,allocate-address, to allocate an elastic ip address from amazon's address pool,the following allocate-address example allocates an elastic ip address. amazon ec2 selects the address from amazon's address pool.,aws ec2 allocate-address
7,allocate-hosts, to allocate a dedicated host,"the following allocate-hosts example allocates a single dedicated host in the eu-west-1a availability zone, onto which you can launch m5.large instances. by default, the dedicated host accepts only target instance launches, and does not support host recovery.","aws ec2 allocate-hosts 
    --instance-type m5.large 
    --availability-zone eu-west-1a 
    --quantity 1"
8,allocate-ipam-pool-cidr,to allocate a cidr from an ipam pool,the following allocate-ipam-pool-cidr example allocates a cidr from an ipam pool.,"aws ec2 allocate-ipam-pool-cidr 
    --ipam-pool-id ipam-pool-0533048da7d823723 
    --netmask-length 24"
9,apply-security-groups-to-client-vpn-target-network,to apply security groups to a target network for a client vpn endpoint,the following apply-security-groups-to-client-vpn-target-network example applies security group sg-01f6e627a89f4db32 to the association between the specified target network and client vpn endpoint.,"aws ec2 apply-security-groups-to-client-vpn-target-network 
    --security-group-ids sg-01f6e627a89f4db32 
    --vpc-id vpc-0e2110c2f324332e0 
    --client-vpn-endpoint-id cvpn-endpoint-123456789123abcde"
10,assign-ipv6-addresses,to assign specific ipv6 addresses to a network interface,this example assigns the specified ipv6 addresses to the specified network interface.,aws ec2 assign-ipv6-addresses --network-interface-id eni-38664473 --ipv6-addresses 2001:db8:1234:1a00:3304:8879:34cf:4071 2001:db8:1234:1a00:9691:9503:25ad:1761
11,assign-private-ip-addresses,to assign a specific secondary private ip address a network interface,"this example assigns the specified secondary private ip address to the specified network interface. if the command succeeds, no output is returned.",aws ec2 assign-private-ip-addresses --network-interface-id eni-e5aa89a3 --private-ip-addresses 10.0.0.82
12,associate-address,to associate an elastic ip addresses in ec2-classic,"this example associates an elastic ip address with an instance in ec2-classic. if the command succeeds, no output is returned.",aws ec2 associate-address --instance-id i-07ffe74c7330ebf53 --public-ip 198.51.100.0
13,associate-client-vpn-target-network,to associate a target network with a client vpn endpoint,the following associate-client-vpn-target-network example associates a subnet with the specified client vpn endpoint.,"aws ec2 associate-client-vpn-target-network 
    --subnet-id subnet-0123456789abcabca 
    --client-vpn-endpoint-id cvpn-endpoint-123456789123abcde"
14,associate-dhcp-options,to associate a dhcp options set with your vpc,"this example associates the specified dhcp options set with the specified vpc. if the command succeeds, no output is returned.",aws ec2 associate-dhcp-options --dhcp-options-id dopt-d9070ebb --vpc-id vpc-a01106c2
15,associate-iam-instance-profile,to associate an iam instance profile with an instance,this example associates an iam instance profile named admin-role with instance i-123456789abcde123.,aws ec2 associate-iam-instance-profile --instance-id i-123456789abcde123 --iam-instance-profile Name=admin-role
16,associate-instance-event-window, to associate one or more instances with an event window,the following associate-instance-event-window example associates one or more instances with an event window.,"aws ec2 associate-instance-event-window 
    --region us-east-1 
    --instance-event-window-id iew-0abcdef1234567890 
    --association-target ""InstanceIds=i-1234567890abcdef0,i-0598c7d356eba48d7"""
17,associate-route-table,to associate a route table with a subnet,this example associates the specified route table with the specified subnet.,aws ec2 associate-route-table --route-table-id rtb-22574640 --subnet-id subnet-9d4a7b6c
18,associate-subnet-cidr-block,to associate an ipv6 cidr block with a subnet,this example associates an ipv6 cidr block with the specified subnet.,aws ec2 associate-subnet-cidr-block --subnet-id subnet-5f46ec3b --ipv6-cidr-block 2001:db8:1234:1a00::/64
19,associate-transit-gateway-multicast-domain,to associate a transit gateway with a multicast domain,the following associate-transit-gateway-multicast-domain example associates the specified subnet and attachment with the specified multicast domain.,"aws ec2 associate-transit-gateway-multicast-domain 
    --transit-gateway-multicast-domain-id tgw-mcast-domain-0c4905cef79d6e597 
    --transit-gateway-attachment-id tgw-attach-028c1dd0f8f5cbe8e 
    --subnet-ids subnet-000de86e3b49c932a 
    --transit-gateway-multicast-domain-id tgw-mcast-domain-0c4905cef7EXAMPLE"
20,associate-transit-gateway-route-table,to associate a  transit gateway route table with a transit gateway attachment,the following example associates the specified transit gateway route table with the specified vpc attachment.,"aws ec2 associate-transit-gateway-route-table 
    --transit-gateway-route-table-id tgw-rtb-002573ed1eEXAMPLE 
    --transit-gateway-attachment-id tgw-attach-0b5968d3b6EXAMPLE"
21,associate-vpc-cidr-block, to associate an amazon-provided ipv6 cidr block with a vpc,the following associate-vpc-cidr-block example associates an ipv6 cidr block with the specified vpc.:,"aws ec2 associate-vpc-cidr-block 
    --amazon-provided-ipv6-cidr-block 
    --ipv6-cidr-block-network-border-group us-west-2-lax-1  
    --vpc-id vpc-8EXAMPLE"
22,attach-classic-link-vpc,to link (attach) an ec2-classic instance to a vpc,this example links instance i-1234567890abcdef0 to vpc vpc-88888888 through the vpc security group sg-12312312.,aws ec2 attach-classic-link-vpc --instance-id  i-1234567890abcdef0 --vpc-id vpc-88888888 --groups sg-12312312
23,attach-internet-gateway,to attach an internet gateway to your vpc,the following attach-internet-gateway example attaches the specified internet gateway to the specific vpc.,"aws ec2 attach-internet-gateway 
    --internet-gateway-id igw-0d0fb496b3EXAMPLE 
    --vpc-id vpc-0a60eb65b4EXAMPLE"
24,attach-network-interface, to attach a network interface to an instance,the following attach-network-interface example attaches the specified network interface to the specified instance.,"aws ec2 attach-network-interface 
    --network-interface-id eni-0dc56a8d4640ad10a 
    --instance-id i-1234567890abcdef0 
    --device-index 1"
25,attach-volume,to attach a volume to an instance,this example command attaches a volume (vol-1234567890abcdef0) to an instance (i-01474ef662b89480) as /dev/sdf.,aws ec2 attach-volume --volume-id vol-1234567890abcdef0 --instance-id i-01474ef662b89480 --device /dev/sdf
26,attach-vpn-gateway,to attach a virtual private gateway to your vpc,the following attach-vpn-gateway example attaches the specified virtual private gateway to the specified vpc.,"aws ec2 attach-vpn-gateway 
    --vpn-gateway-id vgw-9a4cacf3 
    --vpc-id vpc-a01106c2"
27,authorize-client-vpn-ingress,to add an authorization rule for a client vpn endpoint,the following authorize-client-vpn-ingress example adds an ingress authorization rule that permits all clients to access the internet (0.0.0.0/0).,"aws ec2 authorize-client-vpn-ingress 
    --client-vpn-endpoint-id cvpn-endpoint-123456789123abcde 
    --target-network-cidr 0.0.0.0/0 
    --authorize-all-groups"
28,authorize-security-group-egress,to add a rule that allows outbound traffic to a specific address range,this example command adds a rule that grants access to the specified address ranges on tcp port 80.,"aws ec2 authorize-security-group-egress --group-id sg-1a2b3c4d --ip-permissions IpProtocol=tcp,FromPort=80,ToPort=80,IpRanges='[{CidrIp=10.0.0.0/16}]'"
29,authorize-security-group-ingress, [ec2-classic] to add a rule that allows inbound ssh traffic,"the following example enables inbound traffic on tcp port 22 (ssh). if the command succeeds, no output is returned.","aws ec2 authorize-security-group-ingress 
    --group-name MySecurityGroup 
    --protocol tcp 
    --port 22 
    --cidr 203.0.113.0/24"
30,bundle-instance,to bundle an instance,"this example bundles instance i-1234567890abcdef0 to a bucket called bundletasks. before you specify values for your access key ids, review and follow the guidance in best practices for managing aws access keys.",aws ec2 bundle-instance --instance-id i-1234567890abcdef0 --bucket bundletasks --prefix winami --owner-akid AK12AJEXAMPLE --owner-sak example123example
31,cancel-bundle-task,to cancel a bundle task,this example cancels bundle task bun-2a4e041c.,aws ec2 cancel-bundle-task --bundle-id bun-2a4e041c
32,cancel-capacity-reservation,to cancel a capacity reservation,the following cancel-capacity-reservation example cancels the specified capacity reservation.,"aws ec2 cancel-capacity-reservation 
    --capacity-reservation-id cr-1234abcd56EXAMPLE"
33,cancel-capacity-reservation-fleets,to cancel a capacity reservation fleet,"the following cancel-capacity-reservation-fleets example cancels the specified capacity reservation fleet and the capacity it reserves. when you cancel a fleet, its status changes to cancelled, and it can no longer create new capacity reservations. additionally, all of the individual capacity reservations in the fleet are cancelled, and the instances that were previously running in the reserved capacity continue to run normally in shared capacity.","aws ec2 cancel-capacity-reservation-fleets 
    --capacity-reservation-fleet-ids crf-abcdef01234567890"
